90.236.49.48	Mozilla%2F5.0+%28X11%3B+U%3B+Linux+i686%3B+en-US%3B+rv%3A1.8%29+Gecko%2F20051219+SeaMonkey%2F1.0b	http%3A%2F%2Ffaceboook.com	false
217.160.81.173	Mozilla%2F4.0+%28compatible%3B+MSIE+6.0%3B+Windows+NT+5.0%3B+.NET+CLR+1.1.4322%3B+.NET+CLR+2.0.50727%3B+FDM%29+Sleipnir%2F2.8.4	http%3A%2F%2Fwww.gossipcenter.com%2Fnbc%2F%25E2%2580%259C-blacklist%25E2%2580%259D-%25E2%2580%259Cchicago-fire%25E2%2580%259D-renewed-nbc-1231133	true
66.249.64.113	Mozilla%2F4.0+%28compatible%3B+MSIE+7.0%3B+Windows+NT+5.1%3B+Trident%2F4.0%3B+.NET+CLR+1.1.4322%3B+.NET+CLR+2.0.50727%3B+InfoPath.1%3B+.NET+CLR+3.0.4506.2152%3B+.NET+CLR+3.5.30729%29+Sleipnir%2F2.5.12	https%3A%2F%2Ffbgamezone.royalcactus.com%2Findex_2.php%3Frc_auth_id_inscri%3D100003950053544%26rc_auth_key%3DBNLxQOm3GP51FfCxlhFTJUQGisN2gR	true
66.249.78.218	Mozilla%2F5.0+%28Windows%3B+U%3B+Windows+NT+5.1%3B+en-US%3B+rv%3A1.9a2pre%29+Gecko%2F20070130+SeaMonkey%2F1.5a	https%3A%2F%2Ffbgamezone.royalcactus.com%2Fjeux_end.php%3FidPart%3D2765274449444237313%26rc_auth_id_inscri%3D1217335288%26rc_auth_key%3DaJDTiLg7lIjglcK1TTCofsstwTzoag	true
66.249.64.35	Mozilla%2F5.0+%28X11%3B+U%3B+Linux+i686%3B+en-US%3B+rv%3A1.8.1.22%29+Gecko%2F20090624+SeaMonkey%2F1.1.17	http%3A%2F%2Fnym1.ib.adnxs.com%2Fif%3Fe%3DwqT_3QL0A8jrAQAAAgDWAAUItvPUpgUQyfbQsramscMIGODy4qfznYHOQyABKi0JYkA6ljIJ9j8RZmYBAljyPxnufD81XrrZPyFANV66SQz4PynNzAEBuPw_MIi-7wE4vwJAlA9IAlDc7MoLWMbOIGAAaNSkA3AAeKPnAoABAYoBA1VTRJIBAQbwUpgBrAKgAfoBqAEAsAEAuAECwAEFyAEA0AEA2AEA4AEA8AEAigI6dWYoJ2EnLCAzNDY5NTAsIDE0MjMyNjAwODYpO3VmKCdyJywgMjQyOTUwMDQsMh4A8HKSAqEBIURTNC1RZ2lwNVpzREVOenN5Z3NZQUNER3ppQXdBRGdBUUFCSWxBOVFpTDd2QVZnQVlQX19fXzhQYUFCd0FYZ0JnQUVCaUFFQmtBRUJtQUVCb0FFQnFBRURzQUVBdVFITnpNek16TXo4UDhFQnpjBQxQTV9EX0pBYldKUnFTNVFQRV8yUUVBCQEoRHdQLUFCNDdFSTkBFDRJQV-aAh0hemdaM1B3aTKkAPBReHM0Z0lBQS7YAjfgAoeCHuoCC2xhdGltZXMuY29t8gIQCgVDUF9JRBIHNjc0Njc5M4ADAIgDAZAD3aECmAMAoAMBqgMAsAMAuAMAwAOsAsgDAA..%26dlo%3D1%26referrer%3Dlatimes.com	true
220.181.108.104	Mozilla%2F5.0+%28Macintosh%3B+U%3B+PPC+Mac+OS+X%3B+en%29+AppleWebKit%2F417.9+%28KHTML%2C+like+Gecko%2C+Safari%29+Shiira%2F1.1	http%3A%2F%2Fwww.profpress.ma%2F	true
207.46.13.137	Mozilla%2F5.0+%28Windows%3B+U%3B+Win+9x+4.90%3B+en-US%3B+rv%3A1.8.1.16%29+Gecko%2F20080702+SeaMonkey%2F1.1.11	https%3A%2F%2Ffbgamezone.royalcactus.com%2Findex_2.php%3Frc_auth_id_inscri%3D100000584985534%26rc_auth_key%3DqkVsviQFPCrYtFFyXTO9qsyrazl9oi	true
101.226.33.237	Mozilla%2F5.0+%28Windows%3B+U%3B+Windows+NT+5.1%3B+en-US%3B+rv%3A1.9.1b3pre%29+Gecko%2F20081208+SeaMonkey%2F2.0a3pre	http%3A%2F%2Fcrimeblog.dallasnews.com%2F2015%2F02%2Fjoseph-randles-ex-girlfriend-asks-kansas-judge-for-protective-order-against-the-cowboys-running-back.html%2F	true
217.160.82.168	Mozilla%2F5.0+%28X11%3B+U%3B+Linux+i686%3B+rv%3A1.9.1a2pre%29+Gecko%2F20080824052448+SeaMonkey%2F2.0a1pre	http%3A%2F%2Ftpc.googlesyndication.com%2Fsafeframe%2F1-0-1%2Fhtml%2Fcontainer.html	true
122.4.64.144	Mozilla%2F4.0+%28compatible%3B+MSIE+8.0%3B+Windows+NT+6.0%3B+Trident%2F4.0%3B+TencentTraveler+4.0%3B+Trident%2F4.0%3B+SLCC1%3B+Media+Center+PC+5.0%3B+.NET+CLR+2.0.50727%3B+.NET+CLR+3.5.30729%3B+.NET+CLR+3.0.30618%29	http%3A%2F%2Fcrimeblog.dallasnews.com%2F2015%2F02%2Fjoseph-randles-ex-girlfriend-asks-kansas-judge-for-protective-order-against-the-cowboys-running-back.html%2F	true
